surface,player_1_win,player_1,Player_1_hand,Player_1_age,player_2,Player_2_hand,Player_2_age
Clay,0,Alexandr Dolgopolov,R,28.6899384,David Ferrer,R,35.29089665
Clay,1,Alexandr Dolgopolov,R,28.6899384,Andrey Kuznetsov,R,26.39835729
Clay,1,David Ferrer,R,35.29089665,Fernando Verdasco,L,33.67008898
Clay,0,Diego Sebastian Schwartzman,R,24.91718001,Andrey Kuznetsov,R,26.39835729
Clay,0,Karen Khachanov,R,21.15537303,Alexandr Dolgopolov,R,28.6899384
Clay,1,David Ferrer,R,35.29089665,Henri Laaksonen,R,25.29500342
Clay,0,Albert Ramos,L,29.49760438,Fernando Verdasco,L,33.67008898
Clay,1,Andrey Kuznetsov,R,26.39835729,Pablo Carreno Busta,R,26.01505818
Clay,0,Renzo Olivo,R,25.33880903,Diego Sebastian Schwartzman,R,24.91718001
Clay,0,Ernests Gulbis,R,28.8788501,Karen Khachanov,R,21.15537303
Clay,0,Horacio Zeballos,L,32.22176591,Alexandr Dolgopolov,R,28.6899384
Clay,1,David Ferrer,R,35.29089665,Dustin Brown,R,32.60506502
Clay,0,Pablo Cuevas,R,31.54004107,Henri Laaksonen,R,25.29500342
Clay,0,Facundo Bagnis,L,27.38398357,Fernando Verdasco,L,33.67008898
Clay,0,Thiago Monteiro,L,23.12936345,Albert Ramos,L,29.49760438
Clay,0,Jan Lennard Struff,R,27.22792608,Andrey Kuznetsov,R,26.39835729
Clay,0,Paul Henri Mathieu,R,35.50992471,Renzo Olivo,R,25.33880903
Clay,1,Diego Sebastian Schwartzman,R,24.91718001,Maximilian Marterer,L,22.08898015
Clay,0,Arthur De Greef,R,25.30595483,Ernests Gulbis,R,28.8788501
Clay,0,Leonardo Mayer,R,30.17385353,Alexandr Dolgopolov,R,28.6899384
Clay,0,Nikoloz Basilashvili,R,25.3963039,Horacio Zeballos,L,32.22176591
Clay,1,David Ferrer,R,35.29089665,Federico Delbonis,L,26.7816564
Clay,1,Dustin Brown,R,32.60506502,Thomaz Bellucci,L,29.54688569
Clay,0,Mikael Ymer,R,18.85284052,Henri Laaksonen,R,25.29500342
Clay,0,Elias Ymer,R,21.26762491,Fernando Verdasco,L,33.67008898
Clay,1,Facundo Bagnis,L,27.38398357,Tommy Haas,R,39.2881588
Clay,0,Dusan Lajovic,R,27.04722793,Thiago Monteiro,L,23.12936345
Grass,1,John Isner,R,32.22450376,Matthew Ebden,R,29.63997262
Grass,1,John Isner,R,32.22450376,Bjorn Fratangelo,R,23.9945243
Grass,1,Matthew Ebden,R,29.63997262,Peter Gojowczyk,R,28.0054757
Grass,1,John Isner,R,32.22450376,Dennis Novikov,R,23.69336071
Grass,0,Pierre Hugues Herbert,R,26.33264887,Bjorn Fratangelo,R,23.9945243
Grass,0,Tobias Kamke,R,31.15674196,Matthew Ebden,R,29.63997262
Grass,1,Peter Gojowczyk,R,28.0054757,Ivo Karlovic,R,38.38193018
