tourney_id,tourney_name,surface,player_1_win,player_1,Player_1_hand,Player_1_age,player_2,Player_2_hand,Player_2_age
2018-M020,Brisbane,Hard,0,Ryan Harrison,R,25.65366188,Nick Kyrgios,R,22.68309377
2018-M020,Brisbane,Hard,1,Nick Kyrgios,R,22.68309377,Grigor Dimitrov,R,26.63107461
2018-M020,Brisbane,Hard,0,Alex De Minaur,R,18.87200548,Ryan Harrison,R,25.65366188
2018-M020,Brisbane,Hard,0,Kyle Edmund,R,22.98151951,Grigor Dimitrov,R,26.63107461
2018-M020,Brisbane,Hard,0,Alexandr Dolgopolov,R,29.14989733,Nick Kyrgios,R,22.68309377
2018-M020,Brisbane,Hard,0,Michael Mmoh,R,19.97535934,Alex De Minaur,R,18.87200548
2018-M020,Brisbane,Hard,1,Ryan Harrison,R,25.65366188,Denis Istomin,R,31.31827515
2018-M020,Brisbane,Hard,1,Grigor Dimitrov,R,26.63107461,John Millman,R,28.55030801
2018-M020,Brisbane,Hard,1,Kyle Edmund,R,22.98151951,Hyeon Chung,R,21.62080767
2018-M020,Brisbane,Hard,1,Nick Kyrgios,R,22.68309377,Matthew Ebden,R,30.09993155
2018-M020,Brisbane,Hard,0,Horacio Zeballos,L,32.68172485,Alexandr Dolgopolov,R,29.14989733
2018-M020,Brisbane,Hard,0,Mischa Zverev,L,30.36276523,Michael Mmoh,R,19.97535934
2018-M020,Brisbane,Hard,1,Alex De Minaur,R,18.87200548,Milos Raonic,R,27.01437372
2018-M020,Brisbane,Hard,0,Jared Donaldson,R,21.229295,Denis Istomin,R,31.31827515
2018-M020,Brisbane,Hard,0,Yannick Hanfmann,U,26.13552361,Ryan Harrison,R,25.65366188
2018-M020,Brisbane,Hard,1,John Millman,R,28.55030801,Peter Polansky,R,29.54688569
2018-M020,Brisbane,Hard,0,Denis Shapovalov,L,18.71594798,Kyle Edmund,R,22.98151951
2018-M020,Brisbane,Hard,1,Hyeon Chung,R,21.62080767,Gilles Muller,L,34.65023956
2018-M020,Brisbane,Hard,1,Matthew Ebden,R,30.09993155,Francis Tiafoe,R,19.94798084
2018-M020,Brisbane,Hard,1,Horacio Zeballos,L,32.68172485,Ernesto Escobedo,R,21.49486653
2018-M020,Brisbane,Hard,1,Alexandr Dolgopolov,R,29.14989733,Diego Sebastian Schwartzman,R,25.37713895
2018-M020,Brisbane,Hard,0,John Patrick Smith,L,28.07665982,Mischa Zverev,L,30.36276523
2018-M020,Brisbane,Hard,0,Federico Delbonis,L,27.24161533,Michael Mmoh,R,19.97535934
2018-M020,Brisbane,Hard,1,Alex De Minaur,R,18.87200548,Steve Johnson,R,28.02190281
2018-M020,Brisbane,Hard,1,Denis Istomin,R,31.31827515,Damir Dzumhur,R,25.61806982
