,player_1,player_2,ace_pct,df_pct,first_serve_pct,broken_pct,breaking_pct,break_conversion_pct,surface_win_pct,player_hand_win_pct,parameters_value,player_2_prob,player_1_prob,Prediction,Actual
0,Alexandr Dolgopolov,David Ferrer,0.05847276201537378,0.003827285134207596,0.036051113602986073,0.011236685557012377,-0.07671819813560307,-0.03600350399065605,-0.1262626262626262,-0.09173669467787116,0.0,0.559479327246303,0.44052067275369694,0,0
7,Andrey Kuznetsov,Pablo Carreno Busta,0.010513388647154197,0.019261037265480074,0.0419935354604305,-0.025323069981999236,-0.03940910228125638,-0.0565568926614376,-0.07954545454545459,-0.06262626262626259,0.05,0.5367263839820672,0.4632736160179328,0,1
9,Ernests Gulbis,Karen Khachanov,0.01641292780347206,0.02324327142833809,-0.002515723270440251,0.059607059607059615,-0.045100451004510045,-0.07111111111111112,-0.05555555555555558,-0.2882352941176471,0.0,0.5767381607532591,0.4232618392467409,0,0
10,Horacio Zeballos,Alexandr Dolgopolov,-0.015139350784744765,-0.004417696379159668,-0.009835655330514004,-0.021691130083694332,-0.09527605302903171,-0.005844155844155818,-0.38888888888888895,0.06666666666666671,0.1,0.6537676573483977,0.34623234265160235,0,0
11,David Ferrer,Dustin Brown,-0.04707879885512847,-0.008183351929410367,-0.02557571289749694,0.007799757983900646,0.06425329492886447,-0.026482804881194977,0.08181818181818179,0.18300653594771243,0.06666666666666668,0.4179726661968347,0.5820273338031653,1,1
14,Thiago Monteiro,Albert Ramos,-0.008294025561184817,-0.009223196210011407,0.00038212507212420643,-0.03819420188613343,-0.04335919269480376,-0.010677618069815153,0.006249999999999978,0.30000000000000004,0.05,0.43879155029802164,0.5612084497019784,1,0
17,Diego Sebastian Schwartzman,Maximilian Marterer,0.013890460919323399,-0.008743633276740236,0.06293679082291781,-0.16232857542681217,0.18169285911221394,0.216403162055336,0.5625,0.6666666666666666,0.0,0.14225868201420433,0.8577413179857957,1,1
23,Elias Ymer,Fernando Verdasco,-0.02636488965824635,-0.007604459278761931,-0.07415217009312947,0.10340194396798169,-0.11220141847909063,-0.09516908212560388,-0.30303030303030304,-0.5,0.1,0.7516477874634035,0.24835221253659648,0,0
28,John Isner,Dennis Novikov,0.17379660225431443,-0.015404095794532294,0.10529342116558604,-0.1379682193410843,-0.03109004507751134,-0.07727652464494572,0.35,0.42857142857142855,0.0,0.25353274594949393,0.7464672540505061,1,1
38,Ivo Karlovic,Denis Kudla,0.16621488998084039,0.018343796736102418,0.11884632089849445,-0.20796401255066455,-0.10973156575649652,-0.11891891891891893,0.5272727272727273,0.3277777777777777,0.020000000000000004,0.23606042652891046,0.7639395734710895,1,1
39,Samuel Groth,Austin Krajicek,0.08729941773051583,0.01778245537300785,0.05235987546456855,-0.026831190880426875,-0.04270749395648671,0.03861644160151623,0.4,-0.022727272727272707,0.0,0.34698573761926477,0.6530142623807352,1,1
