,aces,break_point_opp_loss,break_point_opp_total,doubfts,first_serve_in,first_serves_won,rt_games_total,service_games,svpt_total,total_brk_faced,total_brk_saved,ace_pct,df_pct,first_serve_won_pct,broken_pct,breaking_pct,break_conversion_pct,win_pct_grass,win_pct_clay,win_pct_hard,Left_hand_win_pct,right_hand_win_pct
Abdullah Maqdas,5.0,23.0,32.0,4.0,247.0,149.0,46.0,46.0,316.0,33.0,19.0,0.015822784810126583,0.012658227848101266,0.6032388663967612,0.30434782608695654,0.1956521739130435,0.28125,0.0,0.0,0.0,0.0,0.0
Adam Hornby,2.0,2.0,3.0,7.0,53.0,30.0,13.0,13.0,82.0,11.0,4.0,0.024390243902439025,0.08536585365853659,0.5660377358490566,0.5384615384615384,0.07692307692307693,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
Adam Pavlasek,45.0,17.0,32.0,23.0,292.0,197.0,49.0,48.0,497.0,58.0,28.0,0.09054325955734406,0.04627766599597585,0.6746575342465754,0.625,0.30612244897959184,0.46875,0.5,0.0,0.0,0.0,0.16666666666666666
Aditya Hari Sasongko,3.0,3.0,4.0,3.0,53.0,32.0,13.0,13.0,79.0,14.0,8.0,0.0379746835443038,0.0379746835443038,0.6037735849056604,0.46153846153846156,0.07692307692307693,0.25,0.0,0.0,0.0,0.0,0.0
Adrian Mannarino,246.0,242.0,432.0,143.0,2809.0,1930.0,588.0,586.0,4667.0,390.0,226.0,0.052710520677094495,0.03064066852367688,0.6870772516909932,0.27986348122866894,0.3231292517006803,0.4398148148148148,0.6153846153846154,0.3333333333333333,0.5609756097560976,0.5555555555555556,0.5490196078431373
Adrian Menendez Maceiras,30.0,27.0,41.0,10.0,295.0,206.0,48.0,46.0,484.0,36.0,16.0,0.06198347107438017,0.02066115702479339,0.6983050847457627,0.43478260869565216,0.2916666666666667,0.34146341463414637,0.5,0.0,0.3333333333333333,0.0,0.2
Adrian Ungur,7.0,10.0,18.0,4.0,164.0,106.0,37.0,37.0,250.0,22.0,15.0,0.028,0.016,0.6463414634146342,0.1891891891891892,0.21621621621621623,0.4444444444444444,0.0,0.0,0.0,0.0,0.5
Adrien Bossel,3.0,0.0,0.0,2.0,42.0,30.0,11.0,10.0,76.0,10.0,8.0,0.039473684210526314,0.02631578947368421,0.7142857142857143,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agustin Velotti,8.0,7.0,9.0,1.0,37.0,26.0,14.0,13.0,75.0,3.0,1.0,0.10666666666666667,0.013333333333333334,0.7027027027027027,0.15384615384615385,0.14285714285714285,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
Aisam Ul Haq Qureshi,64.0,19.0,34.0,20.0,172.0,151.0,51.0,53.0,297.0,11.0,8.0,0.21548821548821548,0.06734006734006734,0.877906976744186,0.05660377358490566,0.29411764705882354,0.4411764705882353,0.5,0.0,1.0,0.0,0.5
Akira Santillan,40.0,17.0,33.0,20.0,235.0,168.0,69.0,72.0,441.0,30.0,13.0,0.09070294784580499,0.045351473922902494,0.7148936170212766,0.2361111111111111,0.2318840579710145,0.48484848484848486,0.5,0.0,0.25,0.0,0.2857142857142857
Albert Montanes,3.0,6.0,11.0,4.0,70.0,45.0,18.0,18.0,131.0,20.0,13.0,0.022900763358778626,0.030534351145038167,0.6428571428571429,0.3888888888888889,0.2777777777777778,0.45454545454545453,0.0,0.5,0.0,0.0,1.0
Albert Ramos,303.0,314.0,517.0,170.0,3508.0,2391.0,703.0,695.0,5721.0,488.0,300.0,0.0529627687467226,0.02971508477538892,0.6815849486887116,0.27050359712230215,0.2887624466571835,0.39264990328820115,0.5,0.6285714285714286,0.38461538461538464,0.5,0.5185185185185185
Alberto Emmanuel Alvarado Larin,1.0,6.0,12.0,6.0,129.0,58.0,26.0,24.0,177.0,35.0,18.0,0.005649717514124294,0.03389830508474576,0.4496124031007752,0.7083333333333334,0.23076923076923078,0.5,0.0,0.0,0.0,0.0,0.0
Alberto Lim,12.0,15.0,29.0,15.0,220.0,135.0,52.0,52.0,335.0,35.0,18.0,0.03582089552238806,0.04477611940298507,0.6136363636363636,0.3269230769230769,0.2692307692307692,0.4827586206896552,0.0,0.0,0.0,0.0,0.0
Aldin Setkic,1.0,0.0,0.0,3.0,30.0,10.0,8.0,7.0,52.0,16.0,12.0,0.019230769230769232,0.057692307692307696,0.3333333333333333,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejandro Falla,2.0,11.0,18.0,4.0,81.0,51.0,20.0,19.0,137.0,17.0,10.0,0.014598540145985401,0.029197080291970802,0.6296296296296297,0.3684210526315789,0.35,0.3888888888888889,0.0,0.5,0.0,0.5,0.0
Alejandro Gonzalez,6.0,3.0,7.0,11.0,93.0,55.0,25.0,25.0,161.0,18.0,7.0,0.037267080745341616,0.06832298136645963,0.5913978494623656,0.44,0.16,0.5714285714285714,0.0,0.0,0.0,0.0,0.0
Aleksandr Nedovyesov,9.0,1.0,4.0,4.0,47.0,32.0,13.0,13.0,77.0,8.0,3.0,0.11688311688311688,0.05194805194805195,0.6808510638297872,0.38461538461538464,0.23076923076923078,0.75,0.0,0.0,0.0,0.0,0.0
Alessandro Bega,4.0,5.0,7.0,3.0,47.0,33.0,12.0,12.0,70.0,5.0,1.0,0.05714285714285714,0.04285714285714286,0.7021276595744681,0.3333333333333333,0.16666666666666666,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
Alessandro Giannessi,66.0,72.0,110.0,57.0,868.0,567.0,168.0,170.0,1329.0,148.0,98.0,0.04966139954853273,0.04288939051918736,0.6532258064516129,0.29411764705882354,0.2261904761904762,0.34545454545454546,0.0,0.5555555555555556,0.16666666666666666,0.5,0.3333333333333333
Alex Bolt,25.0,11.0,15.0,7.0,98.0,66.0,27.0,26.0,162.0,14.0,5.0,0.15432098765432098,0.043209876543209874,0.673469387755102,0.34615384615384615,0.14814814814814814,0.26666666666666666,0.0,0.0,0.0,0.0,0.0
Alex De Minaur,22.0,26.0,37.0,27.0,357.0,225.0,65.0,64.0,583.0,69.0,36.0,0.03773584905660377,0.04631217838765009,0.6302521008403361,0.515625,0.16923076923076924,0.2972972972972973,0.0,0.0,0.3333333333333333,0.5,0.2
Alexandar Lazarov,1.0,5.0,7.0,5.0,29.0,17.0,10.0,10.0,54.0,4.0,0.0,0.018518518518518517,0.09259259259259259,0.5862068965517241,0.4,0.2,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
Alexander Bublik,84.0,27.0,42.0,37.0,283.0,212.0,65.0,66.0,488.0,41.0,20.0,0.1721311475409836,0.07581967213114754,0.7491166077738516,0.3181818181818182,0.23076923076923078,0.35714285714285715,0.0,0.0,0.6,1.0,0.4
Alexander Merino,2.0,0.0,0.0,3.0,24.0,14.0,8.0,7.0,43.0,7.0,3.0,0.046511627906976744,0.06976744186046512,0.5833333333333334,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Ward,3.0,1.0,2.0,5.0,68.0,43.0,0.0,0.0,103.0,15.0,9.0,0.02912621359223301,0.04854368932038835,0.6323529411764706,inf,inf,0.5,0.0,0.0,0.0,0.0,0.0
Alexander Zverev,648.0,273.0,497.0,274.0,3899.0,2907.0,839.0,850.0,6104.0,414.0,267.0,0.10615989515072084,0.04488859764089122,0.74557578866376,0.17294117647058824,0.266984505363528,0.4507042253521127,0.75,0.8,0.6666666666666666,0.6,0.7313432835820896
Alexandr Dolgopolov,318.0,167.0,277.0,138.0,2047.0,1524.0,461.0,469.0,3637.0,274.0,164.0,0.08743469892768765,0.0379433599120154,0.7445041524181729,0.2345415778251599,0.2386117136659436,0.3971119133574007,0.3333333333333333,0.631578947368421,0.48148148148148145,0.4,0.5641025641025641
Alexandre Muller,4.0,9.0,16.0,5.0,94.0,64.0,0.0,0.0,162.0,20.0,13.0,0.024691358024691357,0.030864197530864196,0.6808510638297872,inf,inf,0.4375,0.0,0.0,0.0,0.0,0.0
Alexios Halebian,6.0,6.0,6.0,1.0,34.0,23.0,10.0,9.0,56.0,5.0,3.0,0.10714285714285714,0.017857142857142856,0.6764705882352942,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
